query_id,query_size,query_num_token,num_result,duration,preproc_duration,num_set_read,num_list_read,num_byte_read,max_set_size_read,max_list_size_read,max_counter_size,max_ignore_size,actions,results,benefit_cost,lsh_duration,lsh_precision
1499536,25,25,10,276,1,4,25,0,31,96162,1920,5,,s1499952o19s237080o19s1555780o8s13765o8s13768o7s531222o7s691379o6s1326568o6s740278o6s507638o6,,0,0
1468244,21,21,10,235,1,0,21,0,0,96162,0,1,,s1305182o19s1002443o19s1158801o18s902520o18s553879o18s902521o18s635309o18s434196o18s1998090o17s2225862o17,,0,0
1037671,5,5,10,162,1,0,5,0,0,96162,0,1,,s2330006o3s954100o3s1483456o3s1483455o3s808277o2s1483453o2s1025472o2s792849o2s1142366o2s1166449o2,,0,0
903673,6,6,10,91,0,0,6,0,0,53585,0,1,,s871854o6s1669411o5s2084601o5s1669199o5s1385484o5s1668535o5s1668233o4s2434676o4s885122o4s1844340o4,,0,0
949364,11,11,10,238,0,0,11,0,0,53585,0,1,,s1606338o11s1097529o11s998719o11s1100029o11s1676535o11s2676754o11s856321o11s810288o11s1274653o11s954430o11,,0,0
1358616,16,16,10,330,0,0,16,0,0,53585,0,1,,s1095013o15s918471o15s2181245o15s1866538o15s565113o15s58275o14s406404o14s821633o14s591494o13s1168912o13,,0,0
824726,36,35,10,278,1,3,35,0,112,53585,4108,4,,s2696013o25s2405814o25s614168o24s631995o23s2099236o23s2645514o23s1408745o22s734729o22s806997o22s813420o22,,0,0
894209,5,5,10,240,0,0,5,0,0,78907,0,1,,s1025218o5s2103315o4s999566o4s2617802o4s1006598o4s254952o3s1495761o3s1435481o3s7477o3s1432496o3,,0,0
1227713,13,5,10,177,1,0,5,0,0,96162,0,1,,s1526218o2s888306o2s1661604o2s2222365o2s1526202o2s1858510o2s1525245o2s1525248o2s2106957o2s1643402o2,,0,0
949636,11,11,10,140,1,0,11,0,0,96162,0,1,,s949364o9s949637o9s949641o8s949643o8s949639o8s428808o8s949640o8s428807o8s949638o8s428811o7,,0,0
1077212,11,11,10,154,1,0,11,0,0,53585,0,1,,s927356o9s1077137o9s1638998o8s1638994o8s927355o8s2187266o8s927388o8s1974862o7s1553788o7s1639475o7,,0,0
1305182,21,21,10,129,0,0,21,0,0,53585,0,1,,s2230855o20s1640976o20s902520o19s1158801o19s1814748o19s650181o19s1468244o19s2425879o19s2225862o19s1002443o18,,0,0
1542498,8,8,10,99,1,0,8,0,0,53585,0,1,,s1544812o7s1544444o7s1544434o7s1544425o7s1544409o7s1542783o7s794156o7s1542778o7s652875o7s1189222o7,,0,0
577470,23,23,10,261,1,10,23,0,58,53585,27720,11,,s994318o23s583680o23s740765o22s583738o21s2695785o21s581762o21s2553731o21s618318o21s577401o20s571225o19,,0,0
588064,27,27,10,285,1,10,27,0,21,53585,22179,11,,s994318o27s2553731o26s740765o26s2205910o26s2617057o25s2691244o25s571664o25s618318o25s1561879o24s1599769o24,,0,0
696249,11,11,10,186,1,0,11,0,0,96162,0,1,,s1200426o8s2042428o7s637628o7s696250o6s709574o5s2259855o5s1082004o4s1082002o4s1082057o4s2262491o4,,0,0
1080525,7,7,10,122,1,0,7,0,0,53585,0,1,,s1080521o7s1080550o7s1080549o7s1080520o7s1080522o7s2193466o7s1080523o7s1080526o7s1080547o7s1080524o7,,0,0
1086461,76,71,10,413,2,18,71,0,644,96162,8561,1603,,s531222o22s1555780o21s693813o17s1079716o17s497644o15s511187o15s272733o13s1086460o13s827370o13s539748o13,,0,0
590296,38,38,10,348,1,13,38,0,227,53585,5793,321,,s1599769o37s1074764o37s2617057o36s1230660o36s740765o36s571048o36s2205910o36s571664o35s618318o35s1492864o35,,0,0
1080524,9,9,10,133,1,0,9,0,0,53585,0,1,,s1080547o9s1080549o9s1080550o9s1080523o9s1080520o9s1080521o9s1080522o9s2193466o8s1080527o8s2048705o7,,0,0
925466,7,7,10,182,1,0,7,0,0,96162,0,1,,s807560o6s774414o6s681592o6s928623o6s926067o6s751639o6s829026o6s890953o6s690870o6s1099411o6,,0,0
1080549,11,11,10,113,1,0,11,0,0,53585,0,1,,s1080521o11s1080520o11s1080547o11s1080550o11s1080522o10s2193466o10s1080523o9s1210956o9s1080524o9s1080527o8,,0,0
624624,16,10,10,187,1,0,9,0,0,96162,0,1,,s2347119o3s378200o3s719364o3s696601o3s775861o3s1691930o3s1691888o3s1720545o2s1720565o2s2359772o2,,0,0
1541055,6,6,10,118,1,0,6,0,0,53585,0,1,,s1541200o6s1541125o6s1541216o6s1541246o6s1541189o6s1541164o6s2119064o5s1541953o5s939707o5s1544153o5,,0,0
1483967,9,9,10,240,1,0,9,0,0,96162,0,1,,s902520o7s450856o6s1311482o6s211925o6s1079716o6s414465o6s553887o6s701284o6s553892o6s1305182o6,,0,0
776496,9,2,10,155,1,0,2,0,0,96162,0,1,,s777277o2s1106137o1s1645012o1s2627606o1s658911o1s800308o1s2424423o1s775365o1s911148o1s927215o1,,0,0
1525993,7,7,10,128,1,0,7,0,0,53585,0,1,,s777275o7s2553731o7s913139o7s2372497o7s2557508o7s809436o7s2508155o7s2354935o7s1776863o6s1765585o6,,0,0
580691,41,37,10,165,1,6,24,0,812,96162,36,7,,s2696432o33s581652o21s2696422o20s582653o19s2695965o17s582750o12s2695943o12s579922o9s578320o9s2696511o9,,0,0
745828,7,7,10,141,0,0,3,0,0,96162,0,1,,s48273o6s1806723o1s1104642o1s2585044o1s597772o1s809435o1s1842415o1s2520553o1s1531115o1s684657o1,,0,0
1312045,17,17,10,203,1,0,17,0,0,53585,0,1,,s1189882o17s2176523o17s212810o17s1592496o17s691379o17s1307459o17s2356520o17s812916o17s1054955o17s1761579o16,,0,0
994775,6,6,10,93,1,0,6,0,0,53585,0,1,,s1748327o5s1958295o4s639482o4s1034683o4s1672081o4s1366013o4s884377o3s2330474o3s2205767o3s2482849o3,,0,0
624845,6,6,10,166,1,0,6,0,0,96162,0,1,,s238138o2s1549776o2s1761431o2s1618136o2s1111115o1s1463138o1s479647o1s1075005o1s1995892o1s1834747o1,,0,0
1471786,9,9,10,144,0,0,9,0,0,53585,0,1,,s2421032o7s2420360o7s2669788o7s2420368o7s2420364o7s2421025o7s2594849o7s2421036o7s2421044o6s2420361o6,,0,0
817618,20,20,10,165,1,0,20,0,0,96162,0,1,,s730513o13s603345o13s1122841o12s611768o10s1066290o9s1066267o9s2263798o8s1126372o8s1844359o8s669752o8,,0,0
829735,11,11,10,169,1,0,11,0,0,53585,0,1,,s1729955o11s1276880o11s701356o11s1735906o11s2012638o11s994318o11s2132230o11s1465370o11s1751640o11s767351o10,,0,0
949642,11,11,10,261,0,0,11,0,0,53585,0,1,,s810288o11s652609o11s1677335o11s953774o11s1259880o11s2407105o11s998719o11s929113o11s1177767o11s949263o11,,0,0
757514,14,14,10,101,1,0,14,0,0,53585,0,1,,s788776o12s998668o10s892601o10s2204008o10s2337571o10s2191794o10s1296944o9s740278o9s595736o9s2082742o9,,0,0
624845,6,6,10,107,1,0,6,0,0,53585,0,1,,s2353188o6s758388o6s1444470o6s2351327o6s2372784o6s2353729o6s1129516o6s2553731o6s1444460o6s2570334o6,,0,0
744367,22,22,10,121,1,10,22,0,112,53585,3353,11,,s1019638o22s552938o21s2007893o20s2482477o20s695621o17s1026031o17s1519979o16s31240o16s1575767o16s252247o16,,0,0
924847,5,4,10,143,1,0,4,0,0,53585,0,1,,s2325452o4s1821687o4s1050594o4s2669468o4s1564837o4s1067680o4s1791212o4s1224078o4s1326565o4s1690676o4,,0,0
1541200,6,6,10,119,0,0,6,0,0,53585,0,1,,s1541246o6s1541164o6s1541216o6s1541055o6s1541125o6s1541189o6s1541554o5s1543289o5s1544425o5s1541237o5,,0,0
584588,55,34,10,380,1,2,33,0,172,96162,2363,3,,s1750287o21s1209052o21s780660o21s1127439o21s1126538o21s1213973o21s890507o21s890477o21s1515771o21s1467878o21,,0,0
581359,43,39,10,186,1,1,36,0,660,96162,32,2,,s581762o32s577320o23s583680o19s581268o19s583738o18s584413o16s577401o16s577177o15s580914o14s577499o12,,0,0
991025,14,14,10,188,0,0,14,0,0,96162,0,1,,s617438o10s2072188o9s2411020o9s1828781o9s2168087o9s2511848o9s1947581o9s2501811o8s1422805o8s220248o8,,0,0
1543277,9,9,10,100,0,0,9,0,0,53585,0,1,,s1543289o9s1543664o9s1544148o9s1544141o9s1543272o9s1544396o9s1543672o8s1543683o8s1544136o8s1543284o8,,0,0
